VOIDTK void
IDENFR hanoi
LPARENT (
INTTK int
IDENFR from
COMMA ,
INTTK int
IDENFR via
COMMA ,
INTTK int
IDENFR to
COMMA ,
INTTK int
IDENFR t
RPARENT )
LBRACE {
IFTK if
LPARENT (
IDENFR t
EQL ==
INTCON 0
RPARENT )
RETURNTK return
SEMICN ;
IDENFR hanoi
LPARENT (
IDENFR from
COMMA ,
IDENFR to
COMMA ,
IDENFR via
COMMA ,
IDENFR t
MINU -
INTCON 1
RPARENT )
SEMICN ;
PRINTFTK printf
LPARENT (
STRCON "Move from %d to %d\n"
COMMA ,
IDENFR from
COMMA ,
IDENFR to
RPARENT )
SEMICN ;
IDENFR hanoi
LPARENT (
IDENFR via
COMMA ,
IDENFR from
COMMA ,
IDENFR to
COMMA ,
IDENFR t
MINU -
INTCON 1
RPARENT )
SEMICN ;
RETURNTK return
SEMICN ;
RBRACE }
INTTK int
MAINTK main
LPARENT (
RPARENT )
LBRACE {
INTTK int
IDENFR t
SEMICN ;
IDENFR t
ASSIGN =
GETINTTK getint
LPARENT (
RPARENT )
SEMICN ;
PRINTFTK printf
LPARENT (
STRCON "20373493\n"
RPARENT )
SEMICN ;
IDENFR hanoi
LPARENT (
INTCON 1
COMMA ,
INTCON 2
COMMA ,
INTCON 3
COMMA ,
IDENFR t
RPARENT )
SEMICN ;
RETURNTK return
INTCON 0
SEMICN ;
RBRACE }
