CONSTTK const
INTTK int
IDENFR CONSTANT
ASSIGN =
INTCON 100
SEMICN ;
INTTK int
IDENFR fun
LPARENT (
INTTK int
IDENFR arr
LBRACK [
RBRACK ]
LBRACK [
IDENFR CONSTANT
RBRACK ]
RPARENT )
LBRACE {
RETURNTK return
INTCON 0
SEMICN ;
RBRACE }
INTTK int
MAINTK main
LPARENT (
RPARENT )
LBRACE {
PRINTFTK printf
LPARENT (
STRCON "20373898\n"
RPARENT )
SEMICN ;
INTTK int
IDENFR a
ASSIGN =
INTCON 0
SEMICN ;
LBRACE {
INTTK int
IDENFR a
ASSIGN =
INTCON 1
SEMICN ;
PRINTFTK printf
LPARENT (
STRCON "%d\n"
COMMA ,
IDENFR a
RPARENT )
SEMICN ;
RBRACE }
LBRACE {
INTTK int
IDENFR arr
LBRACK [
INTCON 5
RBRACK ]
SEMICN ;
INTTK int
IDENFR brr
LBRACK [
INTCON 3
RBRACK ]
LBRACK [
INTCON 2
RBRACK ]
SEMICN ;
IDENFR arr
LBRACK [
INTCON 3
RBRACK ]
ASSIGN =
INTCON 1
SEMICN ;
IDENFR brr
LBRACK [
INTCON 1
RBRACK ]
LBRACK [
INTCON 1
RBRACK ]
ASSIGN =
INTCON 1
SEMICN ;
IDENFR brr
LBRACK [
INTCON 2
RBRACK ]
LBRACK [
INTCON 1
RBRACK ]
ASSIGN =
INTCON 2
SEMICN ;
PRINTFTK printf
LPARENT (
STRCON "%d\n"
COMMA ,
IDENFR arr
LBRACK [
INTCON 3
RBRACK ]
RPARENT )
SEMICN ;
PRINTFTK printf
LPARENT (
STRCON "%d\n"
COMMA ,
IDENFR brr
LBRACK [
INTCON 1
RBRACK ]
LBRACK [
INTCON 1
RBRACK ]
RPARENT )
SEMICN ;
INTTK int
IDENFR i
ASSIGN =
INTCON 1
SEMICN ;
PRINTFTK printf
LPARENT (
STRCON "%d\n%d\n"
COMMA ,
IDENFR arr
LBRACK [
IDENFR i
PLUS +
INTCON 2
RBRACK ]
COMMA ,
IDENFR brr
LBRACK [
IDENFR i
PLUS +
INTCON 1
RBRACK ]
LBRACK [
IDENFR i
RBRACK ]
RPARENT )
SEMICN ;
RBRACE }
INTTK int
IDENFR i
ASSIGN =
INTCON 1
SEMICN ;
WHILETK while
LPARENT (
IDENFR i
NEQ !=
INTCON 3
RPARENT )
LBRACE {
PRINTFTK printf
LPARENT (
STRCON "%d\n"
COMMA ,
IDENFR i
RPARENT )
SEMICN ;
IDENFR i
ASSIGN =
IDENFR i
PLUS +
INTCON 1
SEMICN ;
RBRACE }
INTTK int
IDENFR crr
LBRACK [
INTCON 5
RBRACK ]
LBRACK [
IDENFR CONSTANT
RBRACK ]
SEMICN ;
INTTK int
IDENFR y
ASSIGN =
IDENFR i
PLUS +
IDENFR a
PLUS +
INTCON 1
PLUS +
IDENFR fun
LPARENT (
IDENFR crr
RPARENT )
SEMICN ;
PRINTFTK printf
LPARENT (
STRCON "%d\n"
COMMA ,
IDENFR y
RPARENT )
SEMICN ;
LBRACE {
PRINTFTK printf
LPARENT (
STRCON "%d !()*+,-./0:;<?@[]~^`\n"
COMMA ,
IDENFR y
RPARENT )
SEMICN ;
RBRACE }
RETURNTK return
INTCON 0
SEMICN ;
RBRACE }
